,state,n_restaurants,n_taco_restaurants,n_burrito_restaurants,taco_ratio,burrito_ratio,meat_ratio,seafood_ratio,vegetarian_ratio,breakfast_ratio,other_ratio,taco_meat_ratio,taco_seafood_ratio,taco_vegetarian_ratio,taco_breakfast_ratio,taco_other_ratio,burrito_meat_ratio,burrito_seafood_ratio,burrito_vegetarian_ratio,burrito_breakfast_ratio,burrito_other_ratio
36,WA,422,318,231,0.6128112835702741,0.38718871642972563,0.4821230028244941,0.10248663831393133,0.019157492498724726,0.07121402820454951,0.3250188381583002,0.4217624269511062,0.16761390251956293,0.013814016172506736,0.006027253668763102,0.39078240068806097,0.49997810418933436,0.025842779719785065,0.02930980932317831,0.170054440508986,0.2748148662587165
37,NC,430,233,307,0.42776014729757467,0.5722398527024253,0.550114071007506,0.14171992615777704,0.011960063237128192,0.09077519379844964,0.20543074579913942,0.39377238164791806,0.28962917745106587,0.005722460658082976,0.008369098712446352,0.30250688153048677,0.6368865210070423,0.01390831390831391,0.017719576840098013,0.13127035830618897,0.20021522993835697
38,AK,7,6,4,0.7557675244010648,0.24423247559893518,0.5249556344276841,0.017857142857142856,0.017857142857142856,0.0,0.43933007985803013,0.4687134502923977,0.027777777777777776,0.027777777777777776,0.0,0.4757309941520467,0.5416666666666667,0.0,0.0,0.0,0.45833333333333337
39,ND,17,13,10,0.5990196078431372,0.40098039215686276,0.4882352941176471,0.047058823529411764,0.0,0.058823529411764705,0.40588235294117647,0.46282051282051273,0.06666666666666667,0.0,0.0,0.4705128205128205,0.53,0.0,0.0,0.1,0.37
40,MD,271,134,203,0.3906597195342582,0.6093402804657417,0.5463626471929056,0.1716717579263705,0.009354657232886017,0.0838560885608856,0.1887548490869525,0.34816545394903586,0.3729997821415732,0.012389973210868733,0.0009328358208955224,0.26551195487762647,0.6530029357615567,0.023137781758471414,0.008585858585858586,0.1200328407224959,0.19524058317161763
41,MN,261,171,172,0.5222676970428096,0.4777323029571903,0.44131025655263545,0.1343911835291145,0.008626110225310625,0.1283272283272283,0.2873452213657112,0.3552696815854711,0.2596009903027448,0.005847953216374269,0.009988776655443324,0.36929259823996663,0.4656221685291454,0.014622973925299506,0.011395097150911101,0.26918604651162786,0.23917371388301617
42,DC,99,63,69,0.49845314618041875,0.5015468538195812,0.3962850000728789,0.1548566472808897,0.01883554156281429,0.15907560453015,0.2709472065532672,0.3579891889415699,0.32289848599372406,0.015740740740740743,0.026455026455026454,0.2769165578689388,0.41344605475040264,0.018115942028985508,0.041062801932367145,0.2717391304347826,0.2556360708534622
43,UT,144,84,122,0.3852966262914935,0.6147033737085065,0.47964337323863293,0.09576732940636927,0.01781676539375815,0.08249007936507936,0.32428245259616023,0.36724601456744316,0.22944549663299665,0.0033895502645502644,0.0,0.3999189385350099,0.539766800475995,0.011480500967314938,0.03632437294233446,0.11251484913281064,0.2999134764815448
44,NY,855,560,590,0.49352583464011546,0.5064741653598844,0.4536730156837068,0.15788955616646297,0.027271574373200404,0.06280184651213404,0.2983640072644959,0.3575276232604625,0.25841408013494244,0.02428563499992071,0.008127125850340136,0.3516455357543342,0.5286939478489825,0.043209945864482235,0.03276361115344166,0.11044396115682259,0.2848885339762707
45,AL,158,61,128,0.31134114706341065,0.6886588529365896,0.5540491262894467,0.19280883755939598,0.0033052039381153307,0.14008438818565405,0.10975244402738818,0.27181238615664843,0.5703226645849596,0.008561020036429874,0.0,0.149303929221962,0.6506231398809526,0.005022321428571428,0.0,0.17291666666666672,0.1714378720238095
46,IN,305,159,201,0.44422231229608283,0.5557776877039173,0.4389731579895515,0.22827103224644205,0.01072269260793851,0.09256830601092897,0.22946481114513903,0.2389822441709234,0.4414415772906339,0.0017969451931716081,0.0,0.31777923334527114,0.6221541104003792,0.015636105188343994,0.020424662402274342,0.14502487562189056,0.19676024638711204
47,OR,353,248,223,0.5443737273164972,0.4556262726835026,0.5146682482322739,0.09349686937527371,0.020507613758122732,0.1072542538683689,0.26407301476596096,0.47173325106792857,0.17688486468728407,0.018350265326071775,0.00439882697947214,0.32863279193924355,0.5200797408812207,0.006141922873793249,0.03154472988504964,0.19705850950245568,0.24517509685748076
48,NJ,357,237,233,0.5264272965459323,0.4735727034540677,0.42102345394485774,0.19676115727153795,0.020789942536729486,0.07247103969793046,0.2889544065489444,0.28113968676709455,0.32501797108291336,0.012971487022119931,0.007383966244725738,0.37348688888314624,0.5607021635549786,0.032812982131336085,0.030885859350893434,0.13236766809728184,0.24323132686551008
49,PA,451,293,253,0.5565865251873467,0.44341347481265325,0.4837106852106202,0.1760837236398082,0.013438517918757907,0.06740245248136209,0.2593646207494519,0.3248482559288621,0.3143908351346619,0.013952666597717794,0.007679180887372013,0.3391290614513864,0.6603786310308049,0.002415458937198068,0.015419725202333898,0.14051383399209488,0.18127235083756824
50,IA,178,99,127,0.42046422678445156,0.5795357732155487,0.43707479318434395,0.12129515303672606,0.008168360977349742,0.2308052434456929,0.20265644935588759,0.43718734968734957,0.2424963924963925,0.0,0.010101010101010102,0.3102152477152477,0.48620613599770607,0.016310461192350953,0.01706036745406824,0.34364454443194603,0.13677849092392863
51,AR,140,52,107,0.31454310570381994,0.6854568942961801,0.5963540031397174,0.11545493197278911,0.0007142857142857143,0.17000000000000004,0.11747677917320774,0.4449300699300699,0.2991550116550117,0.0,0.0,0.2559149184149184,0.672783913905409,0.02888700084961767,0.001557632398753894,0.2224299065420561,0.07434154630416312
